,true_labels,predicted_labels
56771,3,3
71098,7,7
111189,20,20
74521,7,7
6098,0,0
109841,20,20
109862,20,20
2110,0,0
35264,1,1
85458,10,10
34661,1,1
120139,26,26
43104,1,1
52240,2,2
8617,0,0
101750,16,16
58189,3,3
55513,3,3
93341,13,13
75779,8,0
53286,2,2
64909,5,5
47081,2,2
28344,0,0
60749,4,4
64526,5,5
121586,27,27
110375,20,20
21507,0,0
33286,1,1
83157,10,10
70715,6,1
55449,3,3
25763,0,0
115117,23,23
17372,0,0
18158,0,0
77987,8,8
13239,0,0
69018,6,6
39521,1,1
117132,24,24
116597,24,24
37750,1,1
119911,26,26
71307,7,7
32018,0,0
47831,2,2
120004,26,26
62407,4,4
96132,14,14
113911,22,22
5178,0,0
84252,10,10
32231,0,0
105893,18,18
317,0,0
124830,30,30
59406,4,4
7266,0,0
105027,18,18
72601,7,7
77693,8,15
87174,11,11
15842,0,0
90076,12,12
94104,13,13
112133,21,21
14221,0,0
40690,1,1
71027,6,6
95444,14,14
87523,11,11
8880,0,0
49136,2,15
24353,0,0
95216,14,14
9456,0,0
49913,2,2
14149,0,0
44575,1,1
86342,11,11
45476,1,1
98995,15,15
37616,1,1
113216,21,21
112251,21,21
34013,1,1
110294,20,20
14747,0,0
65099,5,5
14321,0,0
65187,5,5
97758,15,15
54119,3,3
78079,8,8
118114,25,25
102104,16,16
34616,1,1
29624,0,0
32594,0,0
76318,8,8
101443,16,16
102786,17,17
80881,9,9
8309,0,0
118290,25,25
51737,2,2
61460,4,4
84527,10,10
51378,2,2
100146,16,16
108985,19,19
56409,3,3
109962,20,20
33213,1,1
101508,16,16
96764,14,14
856,0,0
90965,12,12
96684,14,14
26652,0,0
114426,22,22
34806,1,1
15669,0,0
118471,25,25
16962,0,0
58664,3,3
117479,24,24
61077,4,4
76116,8,8
4577,0,0
62336,4,4
89879,12,0
48641,2,2
96128,14,14
83523,10,0
66829,5,5
97775,15,15
52244,2,2
47739,2,2
17495,0,0
102396,17,17
116010,23,23
74972,7,7
17719,0,0
8700,0,0
120554,27,27
46056,1,7
44490,1,1
35370,1,1
47676,2,2
56007,3,3
40833,1,1
113304,21,21
123795,29,0
38307,1,1
116116,23,23
84450,10,10
13951,0,0
201,0,0
69264,6,0
86073,11,11
53666,2,2
109738,20,20
29869,0,0
63808,5,5
120356,26,26
47575,2,0
4939,0,0
75097,8,8
12551,0,0
7201,0,0
85034,10,10
46885,1,1
14831,0,0
45001,1,1
92188,13,11
84299,10,10
18107,0,0
89245,12,12
127,0,0
124967,30,30
3896,0,0
40037,1,1
38103,1,1
110180,20,20
15465,0,0
53275,2,0
109140,19,19
66666,5,5
102590,17,17
106007,18,18
43272,1,1
34953,1,1
3064,0,0
83894,10,10
107826,19,19
100730,16,16
103122,17,0
9590,0,0
57068,3,3
111219,20,20
44114,1,1
63764,5,5
124096,30,0
45088,1,1
51768,2,2
29474,0,0
65173,5,5
56595,3,1
31462,0,0
6980,0,0
72252,7,7
2502,0,0
58319,3,3
45403,1,1
98963,15,7
71475,7,0
97111,15,15
72507,7,7
112745,21,21
29531,0,0
59457,4,4
39755,1,1
108690,19,19
45989,1,1
99934,16,17
28977,0,0
76236,8,8
103519,17,17
19484,0,0
34615,1,1
80515,9,9
83699,10,10
54456,3,0
108784,19,19
79814,9,9
83431,10,10
3955,0,0
55722,3,3
73320,7,7
56353,3,3
39835,1,1
62892,4,4
14222,0,0
13041,0,0
2572,0,0
54864,3,3
74623,7,7
88362,11,11
48057,2,2
62797,4,4
35831,1,1
29417,0,0
55348,3,3
91363,12,12
41934,1,1
980,0,0
67134,6,6
69601,6,6
43301,1,1
94444,14,14
54602,3,3
7879,0,0
124706,30,30
89371,12,12
11212,0,0
94264,13,13
57617,3,7
30217,0,0
67128,6,6
98507,15,15
37691,1,1
4404,0,9
674,0,0
4656,0,0
78317,8,8
99529,15,15
53234,2,2
2891,0,0
59981,4,4
96442,14,14
121622,27,27
103326,17,17
46862,1,1
94882,14,14
60767,4,4
70489,6,6
9410,0,0
82260,9,9
82417,9,9
8579,0,0
37286,1,1
49091,2,2
83228,10,10
117721,24,24
45880,1,1
36658,1,1
107910,19,19
55086,3,3
70299,6,6
44753,1,1
89347,12,12
66383,5,5
112411,21,21
111787,21,21
11897,0,0
58158,3,3
64294,5,5
100113,16,16
37053,1,1
115093,23,2
84424,10,1
34270,1,1
31640,0,0
99549,15,15
58429,3,3
5614,0,0
30886,0,0
53313,2,2
74059,7,7
59425,4,4
1472,0,0
75092,8,8
51325,2,2
9631,0,0
49363,2,2
35683,1,1
101792,16,16
68671,6,5
5996,0,0
66570,5,5
113203,21,21
7164,0,0
226,0,8
105665,18,18
26002,0,0
90905,12,12
78098,8,8
90379,12,12
31731,0,0
6048,0,0
79816,9,9
54107,3,3
15478,0,0
8008,0,0
83917,10,7
12601,0,0
15346,0,0
121325,27,27
70142,6,6
56191,3,3
72543,7,7
74775,7,7
50194,2,2
78983,9,9
62640,4,0
86460,11,11
83571,10,10
117743,24,0
119141,25,25
46186,1,1
29353,0,0
69949,6,6
116197,23,23
84073,10,10
59947,4,4
124867,30,30
115749,23,23
69589,6,6
31241,0,0
44599,1,1
886,0,0
67236,6,6
66659,5,5
86084,11,11
69301,6,6
81328,9,9
40061,1,1
84456,10,2
10883,0,0
85138,10,10
90813,12,12
107474,19,0
15990,0,0
7623,0,6
30874,0,0
55995,3,3
82414,9,9
68988,6,6
41479,1,1
102289,17,17
106817,18,18
17293,0,0
113850,22,22
98432,15,7
74093,7,7
70622,6,6
5772,0,0
10120,0,12
40171,1,1
33873,1,1
75865,8,8
57686,3,3
87357,11,11
30356,0,0
28825,0,0
120102,26,26
40895,1,5
43134,1,1
94980,14,14
25709,0,0
2683,0,0
33869,1,1
804,0,0
39665,1,1
103713,17,17
100130,16,16
70860,6,1
35875,1,1
105377,18,18
105636,18,18
67605,6,1
66898,5,5
99807,16,10
118253,25,25
13659,0,0
5789,0,0
115319,23,23
632,0,0
47992,2,1
41727,1,1
29762,0,0
40203,1,1
15415,0,12
12783,0,0
21054,0,0
49991,2,2
66925,5,5
42067,1,1
54630,3,3
13585,0,0
41344,1,1
78449,8,0
22915,0,0
68277,6,5
13912,0,0
63817,5,5
18136,0,0
47868,2,5
50856,2,2
646,0,0
100189,16,16
76753,8,8
59250,4,4
24572,0,0
39444,1,1
1043,0,0
98734,15,15
1176,0,0
74835,7,17
24824,0,0
118055,25,25
59678,4,4
72548,7,7
18694,0,0
83875,10,10
4118,0,0
114847,22,22
32586,0,0
106352,18,0
28105,0,0
91880,13,13
97689,15,15
76191,8,1
40101,1,1
99793,16,16
81592,9,9
61000,4,4
8449,0,0
113263,21,21
89748,12,12
62367,4,4
124267,30,30
123907,29,29
43171,1,1
38976,1,1
73912,7,7
112928,21,21
41657,1,1
69850,6,6
28009,0,0
53571,2,2
122653,28,28
88341,11,11
44395,1,1
62608,4,4
66032,5,5
60025,4,4
61650,4,4
17471,0,0
28256,0,0
19516,0,0
122127,28,28
54141,3,3
34342,1,1
37791,1,1
119705,26,26
60331,4,4
36770,1,1
94556,14,0
47463,2,0
66364,5,5
103066,17,17
79559,9,9
8676,0,0
6363,0,0
101877,16,12
43488,1,1
61067,4,4
124498,30,30
20371,0,0
18952,0,8
112068,21,21
15635,0,0
78450,8,0
35452,1,1
12847,0,0
104100,17,17
110142,20,20
106407,18,18
54696,3,3
15891,0,17
33396,1,1
23764,0,0
67767,6,6
61961,4,4
14949,0,0
105233,18,18
33192,1,1
81123,9,9
28980,0,0
90939,12,0
56484,3,3
96300,14,14
97833,15,15
40060,1,1
38137,1,8
83082,10,10
92332,13,13
100747,16,16
96807,14,14
30768,0,0
105775,18,18
62879,4,4
27379,0,0
118241,25,25
66910,5,5
122664,28,28
50266,2,2
36450,1,1
79340,9,9
75643,8,8
119658,26,26
74267,7,7
88871,11,11
102801,17,17
110908,20,20
122924,29,29
120422,26,26
95124,14,0
15294,0,0
109552,20,20
64452,5,5
19936,0,0
39036,1,1
96902,14,14
18102,0,0
73574,7,7
19384,0,0
104629,17,17
22858,0,0
112611,21,21
109774,20,20
46457,1,1
93121,13,13
113800,22,22
122405,28,28
35478,1,1
91822,13,13
17520,0,0
120712,27,27
17496,0,17
109315,20,20
55484,3,3
53980,3,3
38995,1,1
62706,4,4
95483,14,14
4293,0,0
27660,0,0
73859,7,7
17415,0,0
68030,6,1
18880,0,0
59157,4,4
74605,7,7
14336,0,0
103195,17,1
68239,6,6
55081,3,3
2231,0,0
112546,21,21
2532,0,0
71529,7,7
83426,10,10
73751,7,7
55224,3,3
80487,9,9
65872,5,5
80995,9,9
9482,0,0
87021,11,11
122770,28,28
10032,0,0
120486,27,27
68286,6,6
19964,0,0
3245,0,0
44915,1,1
48678,2,2
110653,20,20
42258,1,1
72423,7,7
51849,2,2
7864,0,14
35508,1,1
85252,10,10
27070,0,0
104420,17,17
33293,1,0
97534,15,15
73371,7,7
82118,9,9
93745,13,13
27741,0,0
87683,11,11
9709,0,0
101362,16,16
114408,22,22
93251,13,13
13756,0,0
31141,0,0
77335,8,8
113901,22,22
79820,9,9
101399,16,16
88809,11,11
85876,10,10
99629,15,15
12600,0,0
61746,4,2
15881,0,0
29226,0,0
22851,0,0
46544,1,1
28509,0,0
34257,1,1
96860,14,14
105448,18,18
90252,12,3
51394,2,2
35761,1,1
76766,8,8
82491,9,9
60407,4,4
74957,7,7
114113,22,22
75894,8,8
123417,29,29
107976,19,19
67544,6,0
61548,4,4
34957,1,1
38093,1,1
85268,10,10
95877,14,14
60567,4,4
62928,4,4
102767,17,17
32301,0,0
54398,3,3
69849,6,6
120349,26,26
77304,8,8
100617,16,0
12650,0,0
115275,23,1
41027,1,1
94199,13,6
77768,8,8
78324,8,0
122140,28,28
47923,2,2
11699,0,0
101943,16,16
18686,0,0
2071,0,0
107429,19,19
44123,1,1
86042,10,10
59146,4,4
85996,10,10
109526,20,20
124010,30,0
70165,6,6
41752,1,1
75027,7,7
27263,0,0
87572,11,11
100751,16,16
50905,2,7
48337,2,2
13035,0,0
97389,15,15
91584,12,0
26767,0,0
85290,10,2
105803,18,18
101395,16,16
13557,0,0
74098,7,7
27895,0,0
413,0,0
59373,4,4
79639,9,9
97902,15,15
69140,6,6
16789,0,0
88784,11,11
118777,25,25
119215,26,1
62454,4,4
52427,2,2
470,0,0
93369,13,13
50134,2,2
35703,1,1
117176,24,24
45492,1,1
68218,6,6
120815,27,27
84919,10,10
10672,0,0
69149,6,6
75013,7,7
47781,2,2
59071,4,4
48491,2,2
64730,5,5
93061,13,13
123134,29,1
71585,7,7
87088,11,11
66974,5,0
121389,27,27
65616,5,5
60668,4,4
34652,1,1
20205,0,0
73952,7,7
101618,16,16
38473,1,22
575,0,0
13645,0,0
18396,0,0
100307,16,8
76402,8,8
100491,16,16
7320,0,0
82657,10,10
13433,0,0
73232,7,7
121841,28,28
77727,8,1
72457,7,7
55899,3,3
47125,2,2
43797,1,1
58678,3,3
47033,2,2
14529,0,0
65712,5,11
28086,0,0
87761,11,11
70157,6,21
92456,13,13
22835,0,15
114331,22,22
49564,2,2
56885,3,3
120041,26,0
89414,12,12
100015,16,0
110421,20,20
37887,1,1
44177,1,1
76315,8,5
23369,0,0
55518,3,3
43396,1,1
82401,9,9
116396,24,24
75155,8,0
108338,19,19
10039,0,0
55028,3,0
76496,8,10
44951,1,1
67366,6,6
121361,27,27
32787,1,1
54258,3,3
111966,21,21
98008,15,0
106051,18,1
49166,2,2
100763,16,16
115257,23,23
7395,0,0
98207,15,15
38125,1,1
61546,4,4
49880,2,2
77636,8,8
35346,1,1
8506,0,0
9636,0,0
75770,8,8
73534,7,7
80555,9,9
5346,0,0
24929,0,0
56716,3,3
27233,0,0
61403,4,4
76333,8,8
114810,22,22
105435,18,1
82695,10,9
11931,0,0
106577,18,18
58030,3,3
300,0,0
121251,27,27
121302,27,27
18965,0,0
119268,26,26
17954,0,0
103730,17,17
63812,5,5
51762,2,2
97893,15,15
37330,1,1
114900,22,22
97329,15,15
46616,1,1
26550,0,4
3580,0,0
67736,6,6
77494,8,8
6177,0,0
51521,2,2
19354,0,0
28852,0,0
103372,17,17
18994,0,0
102712,17,17
91243,12,0
40125,1,1
8033,0,0
60266,4,4
83188,10,10
117855,25,25
36810,1,1
16379,0,0
88026,11,17
57595,3,3
31053,0,0
28171,0,0
91978,13,13
77457,8,8
31776,0,4
18116,0,0
11459,0,2
39783,1,1
115177,23,2
121152,27,27
54095,3,3
49995,2,2
76933,8,8
89501,12,12
61766,4,4
41510,1,1
35818,1,1
38854,1,7
73397,7,7
92214,13,13
72136,7,7
84628,10,10
50059,2,2
73342,7,7
36755,1,1
7326,0,0
124202,30,30
34879,1,1
123767,29,29
58454,3,3
53052,2,2
56482,3,3
120122,26,26
27311,0,0
19368,0,0
24079,0,0
12786,0,0
72362,7,7
36635,1,1
97278,15,15
24786,0,0
55010,3,3
38869,1,1
90471,12,12
78020,8,0
84602,10,10
87553,11,11
30162,0,0
10085,0,0
60076,4,4
93866,13,13
4645,0,0
109210,19,19
21350,0,0
72366,7,7
43847,1,1
121891,28,28
42426,1,1
89141,12,12
40008,1,1
119677,26,26
30046,0,0
51751,2,2
112461,21,21
86768,11,11
31071,0,0
53963,3,3
102670,17,17
55343,3,1
31470,0,0
26373,0,0
43883,1,1
35850,1,1
113350,21,21
41362,1,1
100748,16,16
70462,6,6
97877,15,15
16240,0,0
73358,7,7
99859,16,16
36637,1,1
117465,24,24
27836,0,0
85308,10,10
63077,5,5
99565,15,15
53226,2,2
9351,0,0
96843,14,14
17095,0,0
59107,4,4
51180,2,21
42450,1,1
116310,23,23
78454,8,8
77490,8,8
36436,1,1
2211,0,0
114954,22,22
37015,1,1
105762,18,18
86452,11,11
86307,11,11
81356,9,9
10752,0,0
50280,2,2
98070,15,15
56495,3,3
122125,28,0
68846,6,6
78805,8,6
23325,0,0
70670,6,6
25969,0,0
120342,26,26
6541,0,0
31735,0,0
5428,0,0
81939,9,16
33475,1,1
90358,12,12
2327,0,0
60286,4,4
28384,0,0
85246,10,10
30444,0,0
69088,6,6
14616,0,4
49889,2,2
3899,0,0
35123,1,1
43009,1,1
114747,22,22
55957,3,3
2807,0,0
7112,0,0
49051,2,2
42117,1,1
106243,18,18
39311,1,1
8748,0,0
30160,0,0
112716,21,21
7519,0,13
47978,2,2
41389,1,1
1599,0,0
56415,3,3
8180,0,0
118710,25,25
81245,9,9
22998,0,0
29966,0,0
79349,9,9
110175,20,20
29634,0,0
90984,12,12
76662,8,8
82496,9,9
115940,23,23
12942,0,0
104773,17,17
80585,9,9
83880,10,10
78458,8,8
17318,0,0
56807,3,3
98130,15,15
95574,14,14
95092,14,14
109058,19,19
44625,1,1
90313,12,12
29342,0,0
91950,13,13
32978,1,1
49276,2,2
59501,4,4
28726,0,0
75659,8,8
2623,0,0
5548,0,0
79171,9,9
19101,0,0
11978,0,0
876,0,0
12072,0,0
86144,11,11
86169,11,11
117563,24,24
40798,1,1
118600,25,25
42798,1,6
22809,0,0
20266,0,0
58140,3,3
43580,1,1
112528,21,21
47677,2,2
46328,1,1
124400,30,30
98954,15,1
45593,1,1
55792,3,0
80701,9,4
110790,20,20
505,0,0
3182,0,0
55520,3,3
74818,7,7
56560,3,3
118383,25,25
109981,20,20
102891,17,0
124758,30,30
63977,5,5
57953,3,3
104190,17,17
87628,11,11
83437,10,0
113179,21,21
21355,0,0
88766,11,11
14247,0,0
91301,12,12
110803,20,20
51426,2,2
94009,13,13
108991,19,19
61835,4,4
94997,14,14
90511,12,12
82965,10,10
118942,25,25
13075,0,0
123440,29,29
4537,0,0
36851,1,1
36722,1,1
12528,0,0
68059,6,6
73612,7,7
52944,2,2
107581,19,19
109860,20,20
28651,0,0
87612,11,11
115839,23,23
46150,1,1
34988,1,1
4510,0,0
66419,5,5
71136,7,7
593,0,0
100877,16,16
99271,15,15
70217,6,6
97413,15,15
120770,27,27
107177,19,19
90657,12,12
81033,9,9
110569,20,20
105707,18,18
83416,10,10
119451,26,26
48909,2,2
95468,14,14
50183,2,2
31755,0,0
15315,0,0
28260,0,0
105876,18,1
108797,19,0
5326,0,0
104307,17,17
122737,28,28
39431,1,1
15742,0,0
117267,24,24
98874,15,15
100952,16,16
73435,7,7
54204,3,3
120779,27,27
35235,1,1
100640,16,16
67213,6,0
47586,2,2
56384,3,3
49622,2,2
1656,0,0
12898,0,0
108752,19,19
8256,0,0
121603,27,27
123242,29,29
91909,13,13
20017,0,0
109232,20,20
30840,0,0
34050,1,1
84465,10,10
111484,21,21
94466,14,14
123291,29,29
122747,28,28
57312,3,3
48315,2,2
75187,8,8
74196,7,7
81002,9,9
27479,0,2
20105,0,0
51906,2,2
121855,28,28
11588,0,0
35653,1,1
71311,7,7
120136,26,26
41518,1,1
51480,2,2
19741,0,0
81694,9,9
38198,1,1
83799,10,10
108488,19,19
116132,23,23
99910,16,16
123637,29,29
82849,10,0
111612,21,21
66933,5,5
80334,9,9
51289,2,2
69867,6,6
113195,21,21
47095,2,2
124807,30,30
50204,2,2
13973,0,0
93875,13,13
13343,0,0
105135,18,18
42055,1,1
52455,2,2
93754,13,13
112897,21,21
84841,10,10
7843,0,0
103763,17,17
89477,12,12
9122,0,0
77013,8,8
114389,22,22
29166,0,0
62378,4,4
45282,1,1
19419,0,0
118210,25,25
74680,7,7
20130,0,8
30742,0,0
58179,3,3
16126,0,0
19066,0,0
17688,0,0
40918,1,1
88625,11,11
19777,0,0
44993,1,1
110051,20,20
75657,8,8
2538,0,0
123702,29,29
59713,4,4
71961,7,7
18271,0,0
120172,26,26
30663,0,0
2540,0,0
40354,1,1
37974,1,1
56545,3,3
36339,1,1
33880,1,1
67247,6,6
31409,0,0
36605,1,1
117821,25,25
97571,15,15
78654,8,8
44660,1,26
118493,25,25
71850,7,7
24159,0,0
18509,0,0
81137,9,9
84756,10,10
56102,3,3
40939,1,1
99872,16,16
121383,27,27
55382,3,3
20485,0,14
35197,1,1
33836,1,1
96765,14,14
118649,25,25
77159,8,8
46127,1,1
86847,11,11
122417,28,28
6576,0,0
3049,0,0
100148,16,16
87747,11,11
33747,1,1
19574,0,0
24969,0,0
61163,4,4
6245,0,0
112927,21,21
35078,1,1
111084,20,20
109801,20,20
20696,0,0
87452,11,11
71467,7,7
89330,12,12
50963,2,2
24891,0,0
24483,0,0
39508,1,1
68829,6,6
8062,0,0
69514,6,6
59828,4,4
77588,8,8
67898,6,6
16522,0,0
92198,13,13
62724,4,2
94695,14,14
104541,17,17
84169,10,10
51623,2,2
2320,0,0
1938,0,0
65114,5,5
120842,27,27
5175,0,0
27767,0,0
115051,23,23
87184,11,11
23337,0,0
69742,6,6
28819,0,0
106282,18,18
32902,1,1
91572,12,12
105443,18,18
53477,2,2
49603,2,2
87559,11,11
54889,3,3
101127,16,16
117288,24,24
73760,7,7
78637,8,8
5061,0,0
25655,0,0
61132,4,4
112125,21,21
35487,1,1
5215,0,1
13141,0,12
111747,21,21
50458,2,2
114560,22,22
99414,15,15
73422,7,7
85740,10,10
113291,21,21
64144,5,5
11803,0,0
124084,30,30
108273,19,19
44641,1,1
81280,9,9
61620,4,4
38583,1,1
77020,8,0
12070,0,0
66447,5,5
45872,1,1
72987,7,7
12246,0,0
118608,25,2
119666,26,26
3241,0,0
23628,0,0
104802,18,18
37061,1,1
34777,1,1
72707,7,7
113662,22,4
22685,0,0
97025,14,14
87016,11,11
14477,0,0
106095,18,1
13195,0,0
42872,1,1
56163,3,3
80844,9,9
118811,25,25
85060,10,10
86922,11,11
62360,4,4
84199,10,10
2165,0,0
17656,0,0
27198,0,0
118964,25,25
76531,8,8
109997,20,20
54461,3,3
99078,15,15
86537,11,11
36377,1,1
124246,30,30
27680,0,0
36305,1,1
97545,15,15
60192,4,4
35718,1,1
14120,0,0
67371,6,6
104377,17,17
78838,8,8
90733,12,12
45157,1,1
46066,1,1
85619,10,10
117200,24,24
119681,26,26
98586,15,15
79894,9,9
40195,1,1
8688,0,0
105452,18,18
68753,6,6
17269,0,0
96305,14,14
88042,11,11
106555,18,18
116379,24,24
80796,9,5
56012,3,3
30168,0,0
21436,0,0
66607,5,5
50850,2,2
44694,1,1
70758,6,1
22384,0,0
85809,10,10
29413,0,0
139,0,0
94863,14,14
42862,1,1
120267,26,1
53360,2,3
60055,4,4
37016,1,1
3287,0,0
100383,16,16
58403,3,3
79136,9,9
44500,1,1
12560,0,0
8739,0,2
123042,29,29
49580,2,15
10970,0,0
99638,15,15
85146,10,1
31534,0,0
62935,4,4
8667,0,0
118288,25,25
116776,24,24
55564,3,3
6916,0,0
110554,20,20
42705,1,1
15872,0,0
69347,6,6
95013,14,14
7215,0,0
124018,30,30
33943,1,1
69071,6,6
78409,8,8
34464,1,1
99118,15,15
103758,17,0
16520,0,0
120447,26,26
62872,4,4
28348,0,0
66006,5,5
10829,0,0
42357,1,1
26220,0,0
40987,1,1
117105,24,24
55966,3,3
74494,7,7
114455,22,22
68227,6,6
15976,0,0
30263,0,0
105370,18,18
83975,10,10
38406,1,1
21549,0,0
40019,1,1
93455,13,13
72951,7,7
79755,9,9
120549,27,27
103887,17,17
105177,18,18
77357,8,8
51950,2,2
7336,0,0
89655,12,12
73457,7,7
37878,1,1
57403,3,3
87569,11,11
15774,0,0
13741,0,0
52490,2,2
67457,6,0
7119,0,0
17723,0,0
18308,0,0
33199,1,1
38582,1,1
52117,2,2
67676,6,0
17917,0,0
92832,13,13
25502,0,0
82364,9,0
5464,0,0
92857,13,13
53131,2,0
63606,5,5
6399,0,0
45545,1,1
122968,29,29
12187,0,0
81117,9,9
76168,8,8
12253,0,0
79480,9,9
117827,25,25
11265,0,0
18418,0,0
98270,15,15
11402,0,0
122297,28,28
90459,12,12
54136,3,3
20864,0,0
76826,8,8
42518,1,1
1592,0,0
69882,6,6
4704,0,0
109980,20,20
87712,11,11
42198,1,1
9209,0,0
34331,1,1
52677,2,4
87255,11,11
31043,0,0
81357,9,9
81771,9,9
80321,9,9
65770,5,5
115946,23,23
105245,18,18
543,0,0
91932,13,13
68110,6,6
60256,4,4
65652,5,5
16078,0,0
71528,7,7
39154,1,1
5488,0,0
101269,16,16
102465,17,17
61366,4,4
71946,7,7
68727,6,27
66847,5,5
64392,5,5
16755,0,0
33091,1,1
11114,0,0
115222,23,0
25967,0,0
102882,17,17
47504,2,2
50376,2,2
108104,19,9
101051,16,16
124814,30,30
119038,25,25
32581,0,6
107614,19,19
54789,3,3
104774,17,17
15694,0,0
24733,0,0
124160,30,0
30175,0,0
108093,19,9
105755,18,18
97129,15,15
124270,30,30
3310,0,0
24069,0,0
113043,21,21
11863,0,0
25195,0,0
113368,21,21
26626,0,0
113841,22,22
18237,0,0
963,0,0
25157,0,0
33900,1,1
95509,14,14
26147,0,0
44831,1,1
56426,3,3
108232,19,14
100017,16,16
109585,20,20
29217,0,0
99063,15,15
121457,27,27
33,0,0
12966,0,0
87574,11,11
117170,24,24
102323,17,17
74512,7,7
53791,3,3
63149,5,5
66482,5,5
101811,16,16
25983,0,0
106431,18,18
57722,3,3
47694,2,2
77884,8,11
92873,13,13
57837,3,3
27513,0,0
31615,0,0
32020,0,0
19903,0,16
123988,30,0
82407,9,9
20772,0,0
113730,22,22
40359,1,3
99695,16,16
1841,0,0
60404,4,4
101016,16,0
48278,2,2
6452,0,0
39598,1,1
57567,3,3
17971,0,0
51343,2,2
21656,0,0
24375,0,0
111374,21,21
72375,7,10
328,0,0
20763,0,9
112888,21,21
71800,7,7
118707,25,25
87305,11,11
90831,12,12
121135,27,0
120762,27,27
42739,1,13
110339,20,20
113111,21,21
65144,5,5
106210,18,10
34338,1,1
72422,7,10
