,true_labels,predicted_labels
35850,1,0
113350,21,0
41362,1,1
100748,16,0
70462,6,0
97877,15,0
16240,0,0
73358,7,0
99859,16,0
36637,1,1
117465,24,0
27836,0,0
85308,10,0
63077,5,0
99565,15,0
53226,2,0
9351,0,0
96843,14,0
17095,0,0
59107,4,0
51180,2,2
42450,1,1
116310,23,0
78454,8,0
77490,8,0
36436,1,1
2211,0,0
114954,22,0
37015,1,0
105762,18,1
86452,11,0
86307,11,0
81356,9,0
10752,0,0
50280,2,0
98070,15,0
56495,3,1
122125,28,0
68846,6,0
78805,8,0
23325,0,0
70670,6,0
25969,0,0
120342,26,1
6541,0,0
31735,0,0
5428,0,0
81939,9,0
33475,1,1
90358,12,0
2327,0,0
60286,4,0
28384,0,0
85246,10,0
30444,0,0
69088,6,0
14616,0,0
49889,2,0
3899,0,0
35123,1,1
43009,1,1
114747,22,1
55957,3,0
2807,0,0
7112,0,0
49051,2,0
42117,1,1
106243,18,1
39311,1,1
8748,0,0
30160,0,0
112716,21,0
7519,0,0
47978,2,2
41389,1,0
1599,0,0
56415,3,0
8180,0,0
118710,25,0
81245,9,0
22998,0,0
29966,0,0
79349,9,0
110175,20,0
29634,0,0
90984,12,0
76662,8,0
82496,9,0
115940,23,0
12942,0,0
104773,17,0
80585,9,0
83880,10,1
78458,8,0
17318,0,0
56807,3,0
98130,15,0
95574,14,0
95092,14,1
109058,19,1
44625,1,1
90313,12,0
29342,0,0
91950,13,0
32978,1,1
49276,2,2
59501,4,0
28726,0,0
75659,8,1
2623,0,0
5548,0,0
79171,9,0
19101,0,0
11978,0,0
876,0,0
12072,0,0
86144,11,0
86169,11,0
117563,24,0
40798,1,0
118600,25,1
42798,1,0
22809,0,0
20266,0,0
58140,3,0
43580,1,1
112528,21,0
47677,2,0
46328,1,1
124400,30,0
98954,15,0
45593,1,1
55792,3,0
80701,9,0
110790,20,0
505,0,0
3182,0,0
55520,3,0
74818,7,0
56560,3,0
118383,25,0
109981,20,0
102891,17,0
124758,30,0
63977,5,0
57953,3,0
104190,17,0
87628,11,0
83437,10,0
113179,21,0
21355,0,0
88766,11,0
14247,0,0
91301,12,0
110803,20,0
51426,2,0
94009,13,0
108991,19,0
61835,4,0
94997,14,0
90511,12,0
82965,10,0
118942,25,1
13075,0,0
123440,29,1
4537,0,0
36851,1,1
36722,1,1
12528,0,0
68059,6,1
73612,7,0
52944,2,0
107581,19,0
109860,20,0
28651,0,0
87612,11,0
115839,23,0
46150,1,1
34988,1,1
4510,0,0
66419,5,0
71136,7,1
593,0,0
100877,16,0
99271,15,0
70217,6,0
97413,15,0
120770,27,0
107177,19,0
90657,12,0
81033,9,0
110569,20,0
105707,18,0
83416,10,0
119451,26,1
48909,2,0
95468,14,0
50183,2,0
31755,0,0
15315,0,0
28260,0,0
105876,18,1
108797,19,0
5326,0,0
104307,17,0
122737,28,0
39431,1,1
15742,0,0
117267,24,1
98874,15,0
100952,16,0
73435,7,0
54204,3,0
120779,27,0
35235,1,1
100640,16,0
67213,6,0
47586,2,0
56384,3,0
49622,2,0
1656,0,0
12898,0,0
108752,19,0
8256,0,0
121603,27,0
123242,29,0
91909,13,0
20017,0,0
109232,20,0
30840,0,0
34050,1,1
84465,10,0
111484,21,0
94466,14,0
123291,29,1
122747,28,0
57312,3,0
48315,2,0
75187,8,0
74196,7,2
81002,9,0
27479,0,0
20105,0,0
51906,2,0
121855,28,0
11588,0,0
35653,1,0
71311,7,0
120136,26,0
41518,1,1
51480,2,0
19741,0,0
81694,9,0
38198,1,1
83799,10,0
108488,19,0
116132,23,0
99910,16,0
123637,29,1
82849,10,0
111612,21,0
66933,5,0
80334,9,0
51289,2,0
69867,6,0
113195,21,1
47095,2,0
124807,30,0
50204,2,0
13973,0,0
93875,13,1
13343,0,0
105135,18,0
42055,1,0
52455,2,0
93754,13,0
112897,21,0
84841,10,0
7843,0,0
103763,17,0
89477,12,0
9122,0,0
77013,8,1
114389,22,1
29166,0,0
62378,4,0
45282,1,0
19419,0,0
118210,25,0
74680,7,0
20130,0,0
30742,0,0
58179,3,0
16126,0,0
19066,0,0
17688,0,0
40918,1,1
88625,11,0
19777,0,0
44993,1,1
110051,20,0
75657,8,0
2538,0,0
123702,29,0
59713,4,0
71961,7,0
18271,0,0
120172,26,0
30663,0,0
2540,0,0
40354,1,1
37974,1,1
56545,3,0
36339,1,1
33880,1,1
67247,6,0
31409,0,0
36605,1,0
117821,25,0
97571,15,0
78654,8,1
44660,1,0
118493,25,0
71850,7,0
24159,0,0
18509,0,0
81137,9,0
84756,10,10
56102,3,0
40939,1,0
99872,16,0
121383,27,0
55382,3,0
20485,0,0
35197,1,0
33836,1,0
96765,14,0
118649,25,0
77159,8,0
46127,1,1
86847,11,0
122417,28,0
6576,0,0
3049,0,0
100148,16,0
87747,11,0
33747,1,1
19574,0,0
24969,0,0
61163,4,0
6245,0,0
112927,21,0
35078,1,1
111084,20,0
109801,20,0
20696,0,0
87452,11,0
71467,7,0
89330,12,0
50963,2,0
24891,0,0
24483,0,0
39508,1,1
68829,6,0
8062,0,0
69514,6,0
59828,4,0
77588,8,0
67898,6,0
16522,0,0
92198,13,0
62724,4,0
94695,14,0
104541,17,0
84169,10,0
51623,2,0
2320,0,0
1938,0,0
65114,5,0
120842,27,0
5175,0,0
27767,0,0
115051,23,0
87184,11,0
23337,0,0
69742,6,0
28819,0,0
106282,18,0
32902,1,1
91572,12,0
105443,18,0
53477,2,0
49603,2,0
87559,11,0
54889,3,0
101127,16,0
117288,24,0
73760,7,1
78637,8,0
5061,0,0
25655,0,0
61132,4,0
112125,21,0
35487,1,1
5215,0,0
13141,0,0
111747,21,21
50458,2,2
114560,22,0
99414,15,0
73422,7,0
85740,10,1
113291,21,0
64144,5,0
11803,0,0
124084,30,0
108273,19,0
44641,1,1
81280,9,0
61620,4,0
38583,1,0
77020,8,0
12070,0,0
66447,5,1
45872,1,0
72987,7,0
12246,0,0
118608,25,0
119666,26,0
3241,0,0
23628,0,0
104802,18,1
37061,1,0
34777,1,1
72707,7,1
113662,22,0
22685,0,0
97025,14,1
87016,11,0
14477,0,0
106095,18,0
13195,0,0
42872,1,1
56163,3,0
80844,9,0
118811,25,0
85060,10,0
86922,11,0
62360,4,0
84199,10,0
2165,0,0
17656,0,0
27198,0,0
118964,25,1
76531,8,0
109997,20,0
54461,3,0
99078,15,0
86537,11,0
36377,1,1
124246,30,0
27680,0,0
36305,1,1
97545,15,1
60192,4,0
35718,1,1
14120,0,0
67371,6,0
104377,17,0
78838,8,0
90733,12,0
45157,1,1
46066,1,0
85619,10,0
117200,24,0
119681,26,0
98586,15,0
79894,9,0
40195,1,1
8688,0,0
105452,18,1
68753,6,0
17269,0,0
96305,14,0
88042,11,0
106555,18,0
116379,24,0
80796,9,0
56012,3,0
30168,0,0
21436,0,0
66607,5,0
50850,2,0
44694,1,1
70758,6,1
22384,0,0
85809,10,0
29413,0,0
139,0,0
94863,14,0
42862,1,1
120267,26,0
53360,2,0
60055,4,0
37016,1,1
3287,0,0
100383,16,0
58403,3,0
79136,9,0
44500,1,0
12560,0,0
8739,0,0
123042,29,0
49580,2,0
10970,0,0
99638,15,0
85146,10,0
31534,0,0
62935,4,0
8667,0,0
118288,25,0
116776,24,0
55564,3,0
6916,0,0
110554,20,0
42705,1,1
15872,0,0
69347,6,0
95013,14,0
7215,0,0
124018,30,0
33943,1,1
69071,6,1
78409,8,0
34464,1,1
99118,15,0
103758,17,0
16520,0,0
120447,26,0
62872,4,0
28348,0,0
66006,5,0
10829,0,0
42357,1,1
26220,0,0
40987,1,1
117105,24,1
55966,3,0
74494,7,0
114455,22,0
68227,6,0
15976,0,0
30263,0,0
105370,18,0
83975,10,2
38406,1,0
21549,0,0
40019,1,0
93455,13,0
72951,7,0
79755,9,0
120549,27,0
103887,17,1
105177,18,1
77357,8,0
51950,2,0
7336,0,0
89655,12,0
73457,7,0
37878,1,0
57403,3,0
87569,11,0
15774,0,0
13741,0,0
52490,2,0
67457,6,0
7119,0,0
17723,0,0
18308,0,0
33199,1,1
38582,1,0
52117,2,0
67676,6,0
17917,0,0
92832,13,0
25502,0,0
82364,9,0
5464,0,0
92857,13,0
53131,2,0
63606,5,1
6399,0,0
45545,1,1
122968,29,0
12187,0,0
81117,9,0
76168,8,1
12253,0,0
79480,9,0
117827,25,0
11265,0,0
18418,0,0
98270,15,0
11402,0,0
122297,28,0
90459,12,0
54136,3,0
20864,0,0
76826,8,0
42518,1,1
1592,0,0
69882,6,0
4704,0,0
109980,20,0
87712,11,0
42198,1,1
9209,0,0
34331,1,1
52677,2,0
87255,11,0
31043,0,0
81357,9,0
81771,9,0
80321,9,0
65770,5,0
115946,23,0
105245,18,0
543,0,0
91932,13,0
68110,6,0
60256,4,0
65652,5,0
16078,0,0
71528,7,0
39154,1,1
5488,0,0
101269,16,0
102465,17,0
61366,4,0
71946,7,0
68727,6,0
66847,5,0
64392,5,0
16755,0,0
33091,1,1
11114,0,0
115222,23,0
25967,0,0
102882,17,0
47504,2,0
50376,2,0
108104,19,0
101051,16,0
124814,30,0
119038,25,0
32581,0,0
107614,19,0
54789,3,0
104774,17,0
15694,0,0
24733,0,0
124160,30,0
30175,0,0
108093,19,0
105755,18,0
97129,15,0
124270,30,0
3310,0,0
24069,0,0
113043,21,21
11863,0,0
25195,0,0
113368,21,0
26626,0,0
113841,22,1
18237,0,0
963,0,0
25157,0,0
33900,1,1
95509,14,0
26147,0,0
44831,1,0
56426,3,0
108232,19,0
100017,16,0
109585,20,0
29217,0,0
99063,15,0
121457,27,0
33,0,0
12966,0,0
87574,11,1
117170,24,0
102323,17,0
74512,7,1
53791,3,0
63149,5,0
66482,5,0
101811,16,0
25983,0,0
106431,18,1
57722,3,0
47694,2,0
77884,8,0
92873,13,0
57837,3,0
27513,0,0
31615,0,0
32020,0,0
19903,0,0
123988,30,0
82407,9,0
20772,0,0
113730,22,0
40359,1,0
99695,16,0
1841,0,0
60404,4,0
101016,16,0
48278,2,2
6452,0,0
39598,1,1
57567,3,0
17971,0,0
51343,2,0
21656,0,0
24375,0,0
111374,21,0
72375,7,1
328,0,0
20763,0,0
112888,21,0
71800,7,1
118707,25,0
87305,11,0
90831,12,0
121135,27,0
120762,27,0
42739,1,0
110339,20,1
113111,21,0
65144,5,0
106210,18,0
34338,1,0
72422,7,0
